8 hours +,I have not improved,No
8 hours +,I performed slightly worse,No
8 hours +,I've improved slightly,No
8 hours +,I've improved slightly,No
8 hours +,I've improved slightly,Yes
1 - 2 hours,I've improved slightly,Yes
8 hours +,I've improved slightly,No
4 - 6 hours,I've improved slightly,No
1 - 2 hours,I have not improved,No
2 - 4 hours,I have not improved,No
4 - 6 hours,I've improved slightly,No
8 hours +,I performed slightly worse,Yes
8 hours +,I performed slightly worse,No
8 hours +,I performed slightly worse,No
> 1 hour,I've improved slightly,No
8 hours +,I have not improved,Yes
8 hours +,I've improved significantly,No
8 hours +,I have not improved,No
8 hours +,I have not improved,No
4 - 6 hours,I performed slightly worse,No
2 - 4 hours,I've improved significantly,No
2 - 4 hours,I performed slightly worse,No
4 - 6 hours,I performed much worse,No
2 - 4 hours,I've improved slightly,No
> 1 hour,I've improved slightly,No
1 - 2 hours,I have not improved,Yes
> 1 hour,I've improved slightly,No
1 - 2 hours,I've improved significantly,No
4 - 6 hours,I've improved slightly,No
> 1 hour,I performed slightly worse,No
> 1 hour,I've improved slightly,No
1 - 2 hours,I've improved significantly,No
8 hours +,I've improved slightly,No
8 hours +,I have not improved,No
2 - 4 hours,I performed slightly worse,Yes
1 - 2 hours,I have not improved,No
